Neighb ID,Name,Mental_Health_Cases,Total Pop,Median Income,Average Income,Unemployment rate
1,Agincourt North,112,24070,19730,28306,9.3
2,Agincourt South-Malvern West,126,17350,21457,29079,11.3
3,Alderwood,98,9600,32470,40376,10.7
4,Annex,507,26095,35891,72290,7.4
5,Banbury-Don Mills,193,21770,38053,62498,7.3
6,Bathurst Manor,101,12230,28146,38422,7.1
7,Bay Street Corridor,199,17310,30090,56506,7.8
8,Bayview Village,95,14675,33592,49935,9.3
9,Bayview Woods-Steeles,129,10950,27037,44023,8.4
10,Bedford Park-Nortown,123,16795,40775,89227,10.4
11,Beechborough-Greenbrook,84,4835,21999,30980,6.3
12,Bendale,162,21795,24368,31007,11.6
13,Birchcliffe-Cliffside,208,17265,33128,48799,10.5
14,Black Creek,141,15240,19877,24154,10.6
15,Blake-Jones,127,5970,24561,40610,13.6
16,Briar Hill - Belgravia,196,11525,24933,33408,9.6
17,Bridle Path-Sunnybrook-York Mills,61,6530,62428,213134,7.8
18,Broadview North,169,9480,27307,37582,5.8
19,Brookhaven-Amesbury,149,12990,22967,29605,10.9
20,Cabbagetown-South St. James Town,185,10850,38333,58741,9.7
21,Caledonia-Fairbank,79,7595,25403,30736,7.4
22,Casa Loma,111,8905,43543,104884,9.8
23,Centennial Scarborough,77,9970,37643,49491,6
24,Church-Yonge Corridor,553,26405,33736,46104,7.8
25,Clairlea-Birchmount,218,18940,25563,34237,8.4
26,Clanton Park,96,11160,29390,45742,9.7
27,Cliffcrest,116,11935,28707,41386,7.5
28,Corso Italia-Davenport,107,10925,25810,35411,9.1
29,Danforth,105,7455,30425,44460,10
30,Danforth-East York,80,13370,32454,43619,6.5
31,Don Valley Village,201,21005,23992,33959,7
32,Dorset Park,194,18365,23335,29198,11.1
33,Dovercourt-Wallace Emerson-Junction,465,28480,24680,34337,11.4
34,Downsview-Roding-CFB,289,26560,23638,29635,7.9
35,Dufferin Grove,111,9730,24702,33973,10
36,East End-Danforth,297,16155,36216,48746,6.9
37,Edenbridge-Humber Valley,102,11870,34022,63321,7.8
38,Eglinton East,195,16725,22162,28324,8
39,Elms-Old Rexdale,82,6720,23657,29596,14.1
40,Englemount-Lawrence,172,15815,27063,44363,12.3
41,Eringate-Centennial-West Deane,133,14690,33564,43353,7.6
42,Etobicoke West Mall,86,8440,27114,34153,7.6
43,Flemingdon Park,169,16245,20979,28422,9.9
44,Forest Hill North,85,9715,34271,71920,15.3
45,Forest Hill South,82,8850,42152,122460,8.6
46,Glenfield-Jane Heights,199,22390,21397,25726,7
47,Greenwood-Coxwell,201,11275,27783,41374,13.5
48,Guildwood,92,7965,36007,47713,10.1
49,Henry Farm,77,8510,21812,32617,6.4
50,High Park North,261,17845,36994,50002,12.8
51,High Park-Swansea,206,17615,39949,63148,7.8
52,Highland Creek,95,10435,29962,39918,6.7
53,Hillcrest Village,100,14360,24482,38449,8.8
54,Humber Heights-Westmount,89,8500,28949,40658,9.1
55,Humber Summit,108,9325,22386,27265,8.3
56,Humbermede,85,11580,22775,27025,11
57,Humewood-Cedarvale,120,11425,32431,52647,13.1
58,Ionview,99,10110,23751,28412,6.7
59,Islington-City Centre West,333,30905,33142,46948,13.3
60,Junction Area,197,11205,29898,39242,7.3
61,Keelesdale-Eglinton West,60,8260,22170,28919,7.9
62,Kennedy Park,207,12985,21038,27622,10.8
63,Kensington-Chinatown,308,16000,19675,31229,11.8
64,Kingsview Village-The Westway,177,15815,24939,34120,10.1
65,Kingsway South,54,6920,56357,110927,9.4
66,Lambton Baby Point,65,5800,37639,69142,5.9
67,L'Amoreaux,245,35150,20840,28611,5.1
68,Lansing-Westgate,75,11545,36157,57377,10.6
69,Lawrence Park North,73,10360,57160,97379,8
70,Lawrence Park South,78,10970,52934,122820,5.7
71,Leaside-Bennington,82,12435,52589,91183,8.2
72,Little Portugal,219,10390,26157,38061,7.6
73,Long Branch,91,7815,31074,42148,5.7
74,Malvern,297,32385,21991,27892,8.7
75,Maple Leaf,61,8010,24617,33303,13
76,Markland Wood,81,8485,37079,51983,6.9
77,Milliken,77,21690,18513,27227,8.3
78,Mimico,273,22620,36906,52177,10.5
79,Morningside,150,13080,22502,30034,7.3
80,Moss Park,642,14535,29734,47075,12.7
81,Mount Dennis,169,9765,23059,31081,8.6
82,Mount Olive-Silverstone-Jamestown,278,22510,20431,25072,13.6
83,Mount Pleasant East,93,12505,50225,76925,14.8
84,Mount Pleasant West,278,25865,40643,52846,6.4
85,New Toronto,117,8790,26718,36608,7.4
86,Newtonbrook East,104,13880,23713,40332,8.8
87,Newtonbrook West,192,18965,21407,32612,9.4
88,Niagara,328,19270,50218,61343,9.8
89,North Riverdale,123,9685,40844,62102,5
90,North St. James Town,277,14840,18894,28048,5.9
91,Oakridge,138,9785,18391,25013,11.1
92,Oakwood Village,285,16855,24929,33568,17.1
93,O'Connor-Parkview,197,13965,27449,38550,8.3
94,Old East York,106,7310,34761,47728,9.2
95,Palmerston-Little Italy,116,12160,28040,43767,6.5
96,Parkwoods-Donalda,301,26175,26950,39337,8.2
97,Pelmo Park-Humberlea,39,6605,28150,34926,11.2
98,Playter Estates-Danforth,89,6175,34970,59218,9.8
99,Pleasant View,129,12920,23813,32568,7.6
100,Princess-Rosethorn,52,8510,41688,75429,9.9
101,Regent Park,130,7210,17906,28246,7
102,Rexdale-Kipling,109,8220,25922,32775,15.8
103,Rockcliffe-Smythe,231,16985,23849,31526,11.2
104,Roncesvalles,220,12030,30012,44827,11.5
105,Rosedale-Moore Park,161,17075,53720,137433,6.4
106,Rouge,183,33920,28461,36687,5.9
107,Runnymede-Bloor West Village,95,7320,38200,62301,9.9
108,Rustic,63,7040,22326,28923,6.9
109,Scarborough Village,162,11900,21617,31337,14.4
110,South Parkdale,751,17785,21474,30198,14
111,South Riverdale,353,21050,29358,44138,13
112,St.Andrew-Windfields,118,13740,38086,86730,7.2
113,Steeles,85,20430,19938,28731,8.5
114,Stonegate-Queensway,144,19500,38899,55143,11.1
115,Tam O'Shanter-Sullivan,188,21645,21185,30311,8
116,Taylor-Massey,559,11795,21990,28266,9.8
117,The Beaches,158,16390,49465,81968,16.2
118,Thistletown-Beaumond Heights,121,7625,23952,31134,6.5
119,Thorncliffe Park,71,13035,19785,27345,11
120,Trinity-Bellwoods,245,14525,24571,38853,15.7
121,University,195,6990,23392,43490,8.1
122,Victoria Village,215,13525,25472,33250,11.5
123,Waterfront Communities-The Island,238,40125,47813,61595,10.8
124,West Hill,398,19530,22980,31067,5.1
125,West Humber-Clairville,323,25545,24341,30289,13.5
126,Westminster-Branson,215,20405,21964,31799,10
127,Weston,255,13865,25154,32910,9.1
128,Weston-Pellam Park,108,9160,23341,29769,10
129,Wexford/Maryvale,243,20975,27133,33155,12.3
130,Willowdale East,146,37660,29516,44669,10
131,Willowdale West,75,12775,28991,43697,7.9
132,Willowridge-Martingrove-Richview,162,16645,29286,39001,6.4
133,Woburn,359,39510,22308,29806,8.1
134,Woodbine Corridor,146,9140,36625,49789,13.3
135,Woodbine-Lumsden,96,6400,31780,41302,7
136,Wychwood,213,11455,26764,45108,8.4
137,Yonge-Eglinton,74,8585,45403,76029,7.6
138,Yonge-St.Clair,138,10410,50211,101019,5.7
139,York University Heights,262,21550,21207,26759,7
140,Yorkdale-Glen Park,116,11705,24423,34879,11.4
,,,,,,10.2
